customer_id,tenure_months,monthly_spend,plan_type,num_complaints,auto_pay,contract_type,region,support_calls,last_login_days,discount_applied,total_charges,churned
10001,51.0,371.21,basic,1.0,False,biennial,North,1.0,7.0,yes,20852.58,0
10002,14.0,1295.14,premium,0.0,True,biennial,West,2.0,46.0,no,18179.94,0
10003,71.0,,standard,0.0,False,monthly,West,0.0,52.0,yes,52126.86,1
10004,60.0,1296.46,premium,1.0,True,annual,North,2.0,54.0,yes,78303.06,0
10005,20.0,671.27,standard,2.0,True,monthly,South,3.0,18.0,no,12971.94,1
10006,23.0,878.41,,1.0,True,biennial,South,1.0,46.0,no,21350.5,0
10007,2.0,467.92,basic,1.0,True,monthly,West,2.0,39.0,no,692.98,0
10008,21.0,638.35,standard,0.0,True,annual,East,1.0,39.0,yes,,0
10009,52.0,420.86,basic,2.0,True,,South,6.0,,yes,20548.35,0
10010,1.0,568.47,standard,0.0,False,monthly,,0.0,8.0,no,0.0,1
10011,29.0,700.8,standard,3.0,False,monthly,North,4.0,29.0,no,20876.86,1
10012,,1627.54,premium,3.0,True,biennial,North,4.0,55.0,yes,61322.71,0
10013,1.0,1278.65,premium,1.0,True,annual,West,3.0,16.0,no,3224.32,1
10014,63.0,719.87,standard,0.0,True,monthly,West,0.0,39.0,yes,44542.44,1
10015,59.0,268.85,basic,,,annual,West,2.0,43.0,no,17325.89,1
10016,20.0,412.63,basic,1.0,False,annual,West,1.0,58.0,,9567.05,1
10017,32.0,598.31,standard,3.0,True,monthly,North,3.0,14.0,no,18654.76,1
10018,57.0,352.41,basic,1.0,False,monthly,,5.0,3.0,no,,1
10019,21.0,329.47,basic,0.0,True,biennial,West,1.0,5.0,no,7863.09,0
10020,48.0,157.78,basic,2.0,True,annual,West,2.0,60.0,no,8715.62,0
10021,58.0,383.94,basic,0.0,True,monthly,North,,15.0,no,24435.88,0
10022,41.0,361.47,basic,0.0,True,annual,West,2.0,25.0,no,15920.93,0
10023,59.0,468.33,basic,1.0,True,monthly,West,3.0,56.0,yes,25494.57,1
10024,14.0,398.89,basic,1.0,True,monthly,West,2.0,36.0,no,5907.02,1
10025,61.0,533.27,basic,1.0,False,monthly,West,3.0,22.0,yes,,0
10026,61.0,785.68,premium,0.0,True,monthly,South,0.0,12.0,no,48077.93,0
10027,46.0,341.56,,3.0,True,annual,West,5.0,46.0,yes,15805.39,1
10028,61.0,,basic,1.0,True,biennial,North,3.0,16.0,no,19866.56,0
10029,50.0,390.28,standard,0.0,True,monthly,North,2.0,56.0,,18486.4,0
10030,54.0,173.38,basic,2.0,True,monthly,North,2.0,53.0,yes,8832.19,0
10031,63.0,759.03,premium,2.0,True,annual,North,2.0,26.0,yes,47481.73,0
10032,2.0,587.77,standard,1.0,True,biennial,West,4.0,51.0,no,,0
10033,50.0,386.16,basic,,True,annual,South,1.0,21.0,no,19413.43,0
10034,6.0,250.8,basic,2.0,True,,,2.0,36.0,no,2090.05,1
10035,20.0,1068.06,premium,0.0,True,monthly,East,2.0,18.0,yes,21048.65,0
10036,72.0,1186.01,premium,1.0,False,annual,East,1.0,38.0,,86672.37,0
10037,38.0,798.06,standard,2.0,False,monthly,East,4.0,34.0,no,30288.04,1
10038,17.0,642.24,standard,0.0,True,monthly,North,1.0,12.0,yes,11842.57,0
10039,3.0,436.76,basic,1.0,True,monthly,West,1.0,13.0,no,1005.8,1
10040,59.0,1104.95,premium,1.0,True,monthly,West,1.0,47.0,no,67935.76,1
10041,13.0,,basic,1.0,True,,East,2.0,30.0,no,5516.59,1
10042,8.0,771.49,premium,2.0,True,biennial,East,2.0,44.0,yes,7807.22,0
10043,,554.93,standard,1.0,True,monthly,South,1.0,1.0,no,28162.42,0
10044,1.0,381.64,standard,1.0,True,monthly,South,4.0,45.0,yes,0.0,1
10045,59.0,699.29,standard,3.0,,monthly,South,3.0,51.0,no,41005.97,1
10046,70.0,334.45,basic,2.0,True,monthly,North,2.0,38.0,no,25884.5,1
10047,43.0,279.1,basic,1.0,True,annual,West,1.0,36.0,no,11788.56,0
10048,7.0,371.49,,0.0,True,biennial,North,1.0,13.0,no,1777.0,0
10049,46.0,358.28,basic,0.0,False,biennial,North,2.0,8.0,yes,17781.79,0
10050,34.0,588.34,standard,0.0,False,annual,West,0.0,9.0,no,20062.36,0
10051,35.0,348.52,basic,1.0,True,annual,South,2.0,6.0,yes,11980.08,0
10052,49.0,436.09,basic,0.0,False,monthly,West,0.0,27.0,no,20758.13,1
10053,3.0,1130.06,premium,0.0,True,monthly,East,1.0,45.0,no,3879.01,1
10054,1.0,1486.39,premium,3.0,False,monthly,South,3.0,24.0,no,2549.05,1
10055,5.0,1357.33,premium,1.0,False,annual,West,3.0,45.0,no,7574.74,1
10056,53.0,978.0,premium,,True,annual,North,0.0,56.0,no,51354.67,0
10057,,416.51,basic,0.0,False,monthly,West,1.0,27.0,yes,261.83,1
10058,53.0,335.48,basic,0.0,,monthly,South,1.0,1.0,no,13761.32,0
10059,62.0,682.0,standard,2.0,True,monthly,East,2.0,16.0,yes,41338.53,0
10060,17.0,541.16,standard,2.0,True,biennial,North,4.0,58.0,no,8827.59,0
10061,43.0,423.7,basic,0.0,False,monthly,East,0.0,51.0,yes,18160.06,0
10062,33.0,1402.02,premium,2.0,True,annual,East,2.0,3.0,,45995.85,0
10063,61.0,361.59,basic,1.0,True,annual,North,1.0,12.0,yes,24857.87,0
10064,13.0,300.82,basic,2.0,False,monthly,West,4.0,,no,4402.03,0
10065,47.0,387.76,standard,0.0,True,annual,West,3.0,2.0,no,16987.08,1
10066,14.0,787.26,standard,1.0,True,biennial,East,,50.0,no,11677.21,0
10067,71.0,698.4,,2.0,True,monthly,West,3.0,36.0,yes,49977.88,0
10068,61.0,173.27,basic,2.0,True,biennial,South,5.0,32.0,no,9519.56,0
10069,39.0,756.59,premium,,True,monthly,East,4.0,40.0,yes,29795.82,1
10070,52.0,325.45,basic,2.0,True,monthly,East,3.0,23.0,no,17453.55,0
10071,23.0,471.71,basic,0.0,,biennial,East,2.0,7.0,no,11873.83,1
10072,25.0,1218.28,premium,1.0,False,annual,South,3.0,34.0,no,28681.33,0
10073,59.0,1114.38,premium,2.0,True,biennial,East,3.0,1.0,yes,66396.5,0
10074,40.0,1194.29,premium,0.0,True,annual,West,2.0,32.0,no,49181.5,0
10075,28.0,1311.4,premium,1.0,True,biennial,West,1.0,11.0,no,38606.89,0
10076,14.0,804.39,standard,2.0,False,annual,West,3.0,21.0,yes,10035.39,0
10077,44.0,630.14,standard,2.0,True,annual,West,2.0,12.0,no,27580.21,0
10078,64.0,211.28,basic,2.0,True,annual,East,3.0,9.0,no,13472.85,0
10079,70.0,366.54,basic,0.0,False,monthly,South,0.0,16.0,yes,26333.32,1
10080,8.0,410.72,basic,2.0,True,biennial,North,3.0,42.0,no,3121.13,1
10081,0.0,380.52,basic,,True,monthly,West,,4.0,no,0.0,1
10082,7.0,614.93,standard,1.0,False,monthly,North,1.0,56.0,yes,4521.69,1
10083,62.0,668.37,standard,,False,monthly,North,3.0,58.0,no,41101.44,0
10084,10.0,290.42,basic,2.0,True,annual,East,2.0,8.0,no,,0
10085,7.0,214.23,basic,1.0,False,monthly,West,1.0,,yes,690.04,1
10086,34.0,460.84,standard,0.0,True,monthly,West,0.0,,no,14646.25,1
10087,34.0,564.25,basic,4.0,False,biennial,West,6.0,51.0,no,20499.94,1
10088,32.0,980.72,premium,1.0,True,,,1.0,22.0,no,33655.57,0
10089,4.0,814.45,standard,0.0,False,annual,West,0.0,29.0,no,5080.07,0
10090,,821.53,standard,0.0,False,monthly,West,2.0,42.0,no,32789.27,0
10091,27.0,825.73,standard,1.0,False,monthly,South,3.0,54.0,no,23349.84,1
10092,6.0,919.99,premium,0.0,False,monthly,East,0.0,3.0,yes,4833.66,0
10093,72.0,387.68,basic,0.0,True,annual,West,2.0,20.0,no,28421.14,0
10094,71.0,692.11,standard,4.0,True,monthly,West,7.0,42.0,no,48556.01,1
10095,11.0,845.17,standard,,True,biennial,East,2.0,8.0,yes,10553.37,0
10096,33.0,290.36,,0.0,False,monthly,East,2.0,6.0,no,10705.34,1
10097,32.0,898.68,premium,2.0,False,monthly,North,4.0,,yes,30833.71,0
10098,47.0,682.88,standard,1.0,True,monthly,North,2.0,22.0,no,31866.05,0
10099,22.0,668.23,standard,0.0,False,monthly,North,2.0,57.0,no,16280.09,1
10100,61.0,675.26,premium,0.0,False,annual,East,0.0,22.0,no,41697.33,0
10101,36.0,1157.93,premium,0.0,False,biennial,South,1.0,30.0,yes,41760.87,0
10102,43.0,789.75,standard,0.0,False,annual,West,0.0,56.0,no,34296.24,0
10103,34.0,1255.81,premium,1.0,True,monthly,East,2.0,4.0,yes,44395.55,1
10104,64.0,624.39,standard,0.0,True,monthly,South,0.0,5.0,no,39829.02,0
10105,46.0,728.56,standard,2.0,True,monthly,East,6.0,50.0,no,33432.7,0
10106,2.0,593.21,standard,0.0,True,biennial,South,0.0,0.0,no,0.0,0
10107,0.0,932.02,standard,1.0,True,monthly,East,1.0,58.0,no,784.97,0
10108,4.0,412.37,basic,4.0,False,annual,East,8.0,47.0,no,1913.84,1
10109,13.0,1129.02,premium,1.0,,monthly,South,2.0,27.0,yes,13915.01,0
10110,26.0,968.44,premium,2.0,False,monthly,South,,17.0,yes,24171.58,1
10111,8.0,329.74,basic,1.0,True,monthly,South,1.0,23.0,no,786.68,0
10112,14.0,1236.65,premium,2.0,,monthly,South,3.0,12.0,no,16728.45,0
10113,41.0,,basic,1.0,True,annual,,2.0,32.0,yes,12608.03,0
10114,,315.59,basic,1.0,True,monthly,South,,9.0,no,,1
10115,62.0,806.96,standard,2.0,,annual,South,3.0,6.0,no,50820.54,1
10116,51.0,337.09,basic,1.0,True,monthly,South,2.0,36.0,,,1
10117,3.0,986.7,premium,2.0,,biennial,East,3.0,31.0,no,5412.96,0
10118,22.0,875.96,premium,0.0,True,monthly,South,3.0,,no,20309.48,1
10119,14.0,658.81,standard,0.0,False,biennial,South,0.0,21.0,yes,10177.92,0
10120,42.0,292.9,basic,2.0,True,annual,East,2.0,15.0,yes,12669.5,0
10121,28.0,438.82,basic,2.0,True,biennial,East,,23.0,no,12287.82,0
10122,35.0,780.53,standard,,True,monthly,North,2.0,51.0,no,28170.75,1
10123,12.0,950.94,premium,1.0,False,annual,North,1.0,53.0,no,12659.98,0
10124,31.0,511.78,standard,4.0,True,monthly,South,4.0,13.0,no,16035.68,0
10125,70.0,501.31,basic,1.0,True,monthly,South,5.0,10.0,no,36383.59,0
10126,58.0,526.57,standard,1.0,False,monthly,North,1.0,18.0,no,33424.27,0
10127,27.0,,standard,1.0,True,monthly,North,1.0,22.0,no,10336.8,0
10128,65.0,801.36,standard,0.0,False,biennial,West,0.0,33.0,no,52187.4,0
10129,41.0,350.44,basic,1.0,True,monthly,West,4.0,59.0,no,14275.92,1
10130,44.0,609.38,standard,1.0,True,,South,1.0,39.0,no,26946.46,0
