customer_id,tenure_months,monthly_spend,plan_type,contract_type,region,auto_pay,num_complaints,support_calls,payment_delay_days,internet_usage_gb,satisfaction_score,age,churned
10001,52,67.19,Basic,Monthly,West,True,1,5,,174.28,10.0,57.0,0
10002,15,86.03,Basic,Monthly,West,True,1,1,22.0,283.91,10.0,37.0,0
10003,72,85.08,,Monthly,South,True,0,3,11.0,269.15,2.0,46.0,0
10004,61,65.76,Basic,Biennial,East,True,2,0,13.0,118.52,8.0,54.0,0
10005,21,51.27,Premium,Annual,West,False,5,8,12.0,124.32,5.0,37.0,0
10006,24,78.54,Standard,Annual,South,True,2,2,25.0,141.3,5.0,35.0,0
10007,3,71.96,Standard,Monthly,North,True,1,1,10.0,157.1,9.0,21.0,0
10008,22,56.13,Standard,Annual,East,False,0,2,10.0,238.26,2.0,28.0,0
10009,53,48.94,Basic,Monthly,West,True,2,1,1.0,173.92,10.0,39.0,0
10010,2,80.26,Premium,Monthly,East,True,1,4,13.0,158.56,2.0,69.0,0
10011,30,83.75,Basic,Annual,South,True,1,5,14.0,180.35,5.0,60.0,0
10012,38,61.0,Basic,Monthly,West,False,1,1,22.0,140.43,1.0,31.0,0
10013,2,55.5,Standard,Biennial,North,False,3,1,27.0,288.91,5.0,62.0,1
10014,64,49.24,Basic,Monthly,North,True,5,2,0.0,131.23,5.0,45.0,0
10015,60,79.56,Standard,Biennial,South,False,4,2,11.0,181.87,8.0,21.0,0
10016,21,49.9,Basic,Annual,North,False,3,7,13.0,223.22,6.0,33.0,1
10017,33,126.03,Standard,Annual,North,True,3,4,17.0,227.24,6.0,55.0,0
10018,58,59.74,Standard,Monthly,North,False,1,2,20.0,152.76,5.0,40.0,0
10019,22,20.0,Basic,Monthly,North,True,1,2,23.0,256.75,5.0,30.0,0
10020,49,,Standard,Biennial,North,False,3,2,27.0,330.02,8.0,37.0,0
10021,59,68.17,Basic,Monthly,North,True,0,1,22.0,306.15,1.0,22.0,0
10022,42,,Standard,Annual,North,False,2,3,2.0,10.0,9.0,36.0,0
10023,60,77.2,Basic,Biennial,West,True,2,3,28.0,174.17,6.0,38.0,0
10024,15,49.15,Standard,Monthly,North,False,2,4,25.0,133.67,9.0,59.0,0
10025,62,62.84,Standard,Annual,West,True,0,3,30.0,218.93,2.0,22.0,0
10026,62,78.19,Basic,Annual,East,False,1,7,24.0,253.65,3.0,31.0,1
10027,47,20.0,Premium,Monthly,South,True,2,0,11.0,99.55,1.0,53.0,0
10028,62,103.47,Premium,Monthly,North,False,1,3,28.0,240.76,5.0,23.0,0
10029,51,49.22,Standard,Monthly,South,False,2,4,4.0,178.15,,22.0,0
